supplier_id	supplier_name	contact_name	email	phone	country	rating	active	established_year	num_products_supplied
65a43ef0-f1f2-43cf-baa5-600e0c6f1dd0	Mendoza LLC	Daniel Myers	joshuahall@example.net	580.443.0548x3347	Ecuador	D	no	1996	93
972cae40-692e-48f1-b6d3-ac1d212fed94	Acevedo Ltd	Joshua Gonzalez	portertravis@example.com	697-595-2544x677	Lao People's Democratic Republic	D	no	2002	86
13f3c7f1-6e14-403b-9846-913c5066a3d2	Carter, Peters and Martinez	Brian Jones	bradley10@example.org	001-325-529-1516x34206	Ukraine	A	Yes	2013	67
f2e0355b-ecff-45d9-ab09-10741a7f4500	Davis, Fleming and Long	Tammy Davis	kimberlykramer@example.org	304.633.6729x2006	Falkland Islands (Malvinas)	A	N	2011	19
99385671-1957-4815-96b2-ff2cc2d49251	Moore, Fischer and Rodriguez	David Maldonado	smithryan@example.org	824-730-6643	Pakistan	B	no	1998	53
426ca28a-4d96-439a-88e1-12e5c1d8e7df	Montes LLC	Joseph Rodgers	echambers@example.org	001-542-913-9432x57755	Nepal	D	Y	1996	10
70d878b9-3f2c-4a6f-98c9-3ec2fdfcb5b0	Dominguez, Leblanc and Brown	Anna Myers	chriswood@example.net	(384)498-3024	Somalia	C	N	2022	15
56a8546d-801a-4e39-a383-933ed4549455	Wright, Lee and Bartlett	Annette Huang	victoroconnell@example.org	+1-694-816-3418x72004	Chad	A	Yes	1997	21
05ff7149-16c9-4a91-9758-25800cf439fc	Woodard LLC	Catherine Moore	kennedychristina@example.com	316-490-8170	Western Sahara	D	no	1994	16
038b39d7-fb8b-4560-a30e-6c2484123885	Becker-Strickland	Amanda Morgan	roger61@example.com	364.973.8149	Andorra	A	yes	2006	32
4de5915d-777c-49f4-9371-f6eca6d87e54	Mendoza, Wyatt and Thompson	Mary Williams	kyle06@example.com	430.537.6942x64106	Denmark	B	no	2011	85
bcbfe2bd-1d7e-4dc8-a9f9-15b2dd224740	Harmon and Sons	Jesus Wells	rzamora@example.net	8007860336	Lithuania	A	yes	1990	38
0af9a0c7-0212-4789-8ceb-ba6c876f5985	Frey-Velasquez	Karen Bates	jeancraig@example.net	904.760.6328x12695	Aruba	C	yes	2001	91
62ed4129-aba6-426f-8f06-69444972fde0	Leach PLC	Kyle Grant	ulong@example.com	+1-399-754-1221x00828	Cote d'Ivoire	B	yes	1999	75
a61dc2d6-24e8-4475-9144-5c4cb2190256	Herrera-Torres	Sara Dalton	thomasrivera@example.net	228-467-8624	Gambia	B	No	2019	37
087ffbe7-46e8-4bfc-bfe7-a74d0c6b1709	Blair Group	Anna Jenkins	anthony02@example.net	474-982-7118x2579	Trinidad and Tobago	B	no	2005	11
d1cfdcc3-14d3-49f5-b80d-66e55dd0dc9d	Higgins, Hall and Ruiz	Angela Elliott	meredithhebert@example.com	873-689-7874	Mexico	B	no	2000	95
f72063ad-c4dd-44ac-a0ff-a19c2b38df39	Hall LLC	Sarah Coleman	lberg@example.net	(894)626-5493	Ecuador	A	Yes	2023	17
8a3746b7-0fa9-4880-a32b-25b33eb58578	Smith, Ross and Lee	Sean Martinez	wespinoza@example.net	9616237301	Congo	C	N	2005	56
65a4bae2-8c02-4f25-8fc5-4f2ddc28dcff	Williams LLC	Stephanie Williams	sherri46@example.net	001-286-307-5348x708	Thailand	D	yes	1996	8
369f9659-1927-46aa-b281-a326bee75ff5	Kim, Fox and Jensen	Abigail Sanchez	robertskimberly@example.org	+1-590-280-7393x489	Saudi Arabia	C	no	2004	23
67a20745-173e-4d01-b63d-63d82f392df6	Davis-Myers	Linda Ramirez	philip06@example.org	628-334-1474x192	Sweden	B	N	2014	45
a70f3ecd-2f37-4446-8fad-103af00fd0a9	Butler and Sons	Edward Velazquez	justineaton@example.com	001-204-967-6918x656	Wallis and Futuna	B	yes	2015	8
34f0ec73-c5bd-4f17-a66b-8ca27ab8694d	Vasquez, Patel and Montoya	Alexandra Glover	eric30@example.org	323-622-3887x34070	Belarus	D	No	1993	85
bf5b1d52-d98c-4cb4-948d-43b6e4aaf9c1	Rowe Ltd	Rick Lee	heathermiller@example.com	(463)567-8174	Estonia	D	Y	2008	8
5615b500-c8e3-4d88-9e78-7e930d190597	Hinton-James	Anna Thornton	william81@example.net	484-295-7587x87979	Syrian Arab Republic	A	No	2002	34
b133e1c6-195e-4d38-8ec0-336b0ffcd2be	Nelson Group	Chelsey Mitchell	gonzalezjames@example.com	+1-655-234-6219	Canada	C	N	2020	86
